"X1_graph","X8_frantfreqparm","Word","nl","oPE","Npix","OLD20","CN","Freq"
"visas",0.84,"visas",5,483.289784306769,732.490196078431,1.7,4,0.84
"viser",3.9,"viser",5,518.002643128907,707.396078431373,1.4,7,3.9
"vises",0.16,"vises",5,475.602732160617,731.345098039216,1,16,0.16
"visez",0.68,"visez",5,492.278722116728,716.623529411765,1.6,6,0.68
"vison",1.29,"vison",5,508.552761721928,736.039215686274,1.75,3,1.29
"vissa",0.29,"vissa",5,494.27127683993,732.490196078431,1.65,6,0.29
"visse",0.35,"visse",5,481.870069347355,731.345098039216,1.3,10,0.35
"vissé",1.55,"vissé",5,496.827829365161,753.160784313725,1.5,7,1.55
"visât",0.03,"visât",5,540.871780425543,744.850980392157,1.85,2,0.03
"visée",3.65,"visée",5,481.457488053752,757.592156862745,1.4,7,3.65
"visés",2.87,"visés",5,488.161155742892,753.160784313725,1.5,6,2.87
"vitae",0.84,"vitae",5,490.534144356571,722.839215686275,1.8,2,0.84
"vital",6.71,"vital",5,584.979549137852,695.890196078431,1.8,3,6.71
"vitre",22.68,"vitre",5,514.113941113869,693.313725490196,1.25,11,22.68
"vitré",1.52,"vitré",5,529.071701131676,715.129411764706,1.6,5,1.52
"vivat",0.13,"vivat",5,553.678957216089,692.78431372549,1.85,0,0.13
"vives",13.16,"vives",5,504.233731889349,705.721568627451,1.25,11,13.16
"vivez",1.94,"vivez",5,520.909721845459,691,1.65,4,1.94
"vivra",2.29,"vivra",5,541.198120596233,682.917647058823,1.7,3,2.29
"vivre",138.97,"vivre",5,528.796913103659,681.772549019608,1.5,5,138.97
"vizir",3.39,"vizir",5,558.603774109856,657.741176470588,1.95,0,3.39
"vlouf",0.26,"vlouf",5,592.56016109175,735.498039215686,1.9,1,0.26
"vocal",1.19,"vocal",5,532.877745550152,729.788235294118,1.8,3,1.19
"vodka",3.81,"vodka",5,534.9417955192,842.921568627451,2.05,0,3.81
"vodou",0.19,"vodou",5,508.408713978673,803.670588235294,2.15,1,0.19
"voeux",8.9,"voeux",5,494.907985727103,751.792156862745,1.85,1,8.9
"vogua",0.06,"vogua",5,512.288233207435,817.490196078431,1.8,3,0.06
"vogue",8.52,"vogue",5,499.887025714861,816.345098039216,1.5,6,8.52
"vogué",0.19,"vogué",5,514.844785732667,838.160784313725,1.85,2,0.19
"voici",94,"voici",5,532.71106149448,685.725490196078,2,0,94
"voies",40.52,"voies",5,463.924730644296,733.133333333333,1.3,8,40.52
"voila",0.65,"voila",5,540.475841106218,711.760784313725,1.8,3,0.65
"voile",25.48,"voile",5,528.074633613643,710.61568627451,1.35,6,25.48
"voilà",207.58,"voilà",5,557.798536541256,733.549019607843,1.85,3,207.58
"voilé",2.61,"voilé",5,543.03239363145,732.43137254902,1.6,5,2.61
"voire",29.45,"voire",5,488.487911858606,709.18431372549,1.4,7,29.45
"volai",0.13,"volai",5,557.615189644498,711.760784313725,1.8,1,0.13
"voler",15.97,"voler",5,532.789441395571,717.16862745098,1.35,7,15.97
"voles",0.32,"voles",5,490.389530427281,741.117647058824,1.05,12,0.32
"volet",5.03,"volet",5,532.14770360787,727.035294117647,1.35,7,5.03
"volez",0.19,"volez",5,507.065520383392,726.396078431373,1.5,5,0.19
"volis",0.06,"volis",5,534.27165800694,706.18431372549,1.45,8,0.06
"volta",2.58,"volta",5,528.46778373641,728.180392156863,1.65,3,2.58
"volte",2.58,"volte",5,516.066576243835,727.035294117647,1.45,5,2.58
"volts",2.19,"volts",5,522.770243932975,722.603921568627,1.55,5,2.19
"volve",0.03,"volve",5,534.035178654646,715.494117647059,1.75,4,0.03
"volât",0.06,"volât",5,555.658578692207,754.623529411765,1.9,1,0.06
"volée",11.19,"volée",5,496.244286320416,767.364705882353,1.45,6,11.19
"volés",1.87,"volés",5,502.947954009555,762.933333333333,1.45,6,1.87
"vomie",0.19,"vomie",5,525.094381959949,785.749019607843,1.65,4,0.19
"vomir",6,"vomir",5,574.197960617378,757.36862745098,1.7,3,6
"vomis",0.48,"vomis",5,531.798049649089,781.317647058824,1.6,4,0.48
"vomit",1.74,"vomit",5,573.556222829677,767.235294117647,1.7,3,1.74
"vopos",0.26,"vopos",5,496.283604949605,818.098039215686,1.9,1,0.26
"voter",5.16,"voter",5,494.807662291592,725.603921568627,1.35,9,5.16
"votes",4.03,"votes",5,452.407751323302,749.552941176471,1.35,9,4.03
"votif",0.13,"votif",5,563.228004646341,718.811764705882,1.9,1,0.13
"votre",276.9,"votre",5,476.970932537612,725.603921568627,1.65,6,276.9
"votée",1.68,"votée",5,458.262507216437,775.8,1.4,8,1.68
"votés",1.16,"votés",5,464.966174905576,771.36862745098,1.5,7,1.16
"vouai",0.03,"vouai",5,507.061328937392,728.898039215686,1.55,5,0.03
"vouer",2.13,"vouer",5,482.235580688464,734.305882352941,1.4,8,2.13
"vouge",0.13,"vouge",5,501.321272318788,816.345098039216,1.75,4,0.13
"voulu",117.42,"voulu",5,534.327195709783,725.925490196078,1.7,3,117.42
"vouée",3.55,"vouée",5,445.690425613309,784.501960784314,1.25,11,3.55
"voués",2.26,"voués",5,452.394093302449,780.070588235294,1.4,8,2.26
"voyer",0.13,"voyer",5,550.78242319276,762.152941176471,1.4,10,0.13
"voyez",52.68,"voyez",5,525.05850218058,771.380392156863,1.7,4,52.68
"voyou",7.55,"voyou",5,544.833940557421,778.078431372549,1.95,1,7.55
"voûta",0.1,"voûta",5,494.501995562325,771.764705882353,1.7,5,0.1
"voûte",14.13,"voûte",5,482.10078806975,770.619607843137,1.5,6,14.13
"voûté",4.35,"voûté",5,497.058548087556,792.435294117647,1.65,4,4.35
