"Word","FREQcount","CDcount","FREQlow","CDlow","FREQlemma","SUBTLEXWF","Lg10WF","SUBTLEXCD","Lg10CD","nl","oPE","Npix","OLD20","CN","Freq"
"d._hé",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,699.086091657124,673.066666666667,2.7,0,0.4771
"d._en",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,662.131641502232,625.160784313725,2.4,2,0.4771
"d-o-d",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,641.630958911405,677.070588235294,2.65,0,0.4771
"d-dat",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,592.135783204182,768.713725490196,2.55,2,0.4771
"curia",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,495.492065436405,716.309803921569,1.95,1,0.4771
"cuba.",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,538.698672986623,688.56862745098,2.6,0,0.4771
"crohn",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,505.794793136811,789.16862745098,2.35,0,0.4771
"creak",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,509.32850992819,786.705882352941,2,0,0.4771
"cpu's",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,583.138762105113,690.309803921569,1.95,1,0.4771
"coppi",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,592.207370915772,856.062745098039,2,0,0.4771
"clute",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,533.30694751418,733.01568627451,1.8,3,0.4771
"cline",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,542.142410282356,729.313725490196,1.9,1,0.4771
"clays",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,582.719227047994,776.090196078431,1.9,1,0.4771
"cinci",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,525.925815070256,704.423529411765,2,0,0.4771
"chuny",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,552.145193903727,828.41568627451,1.85,1,0.4771
"chory",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,571.051981643721,804.298039215686,2,0,0.4771
"chock",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,524.155378620438,823.388235294118,1.9,1,0.4771
